rank,ticker,filed_date,company_name,broad_category,reaction_class,MOS_retrospective,llm_importance_norm,baseline_importance,reaction_pattern_score,importance_score,R_short_0_1,R_long_5_20,reasoning,key_signals
11,UNP,2023-08-11,UNION PACIFIC CORP,Executive Change,Delayed,0.8310829817158931,0.75,0.6554149085794655,1.0,4.0,-0.01139,-0.06668,"The filing details the transition and separation of Lance M. Fritz from his top executive roles at Union Pacific Corporation. While he will continue in a non-officer advisory role, the changes indicate a significant alteration in leadership. The Transition Agreement outlines compensation and vesting arrangements, providing concrete financial terms.","[""Lance M. Fritz will cease to serve as the Chairman, President and Chief Executive Officer of Union Pacific Corporation"", ""Mr. Fritz will remain a non-officer employee of the Company to advise on matters relating to the transition until February 1, 2025"", ""Mr. Fritz will receive an annual base salary of $300,000"", ""his outstanding and unvested PSUs will vest on a pro-rata basis""]"
12,T,2023-05-01,AT&T INC.,Regulatory,Delayed,0.8308720112517581,0.75,0.6543600562587905,1.0,4.0,-0.00482,-0.09276,"The filing describes a significant financial transaction where AT&T will transfer approximately $8,050 million of pension obligations to Athene. This is a concrete update involving substantial numbers and named parties, but it does not affect AT&T’s existing financial guidance.","[""entered into a commitment agreement with subsidiaries of Athene Holding Ltd."", ""AT&T agreed to purchase nonparticipating single premium group annuity contracts"", ""transfer to Athene approximately $8,050 million of the Plan\u2019s defined benefit pension obligations""]"
13,T,2023-05-03,AT&T INC.,Regulatory,Delayed,0.8216596343178623,0.75,0.6082981715893109,1.0,4.0,-0.00878,-0.14544,"The filing details a significant financial transaction involving the transfer of pension obligations valued at $8,050 million, impacting 96,000 participants. AT&T expects a $350 million settlement gain, indicating substantial financial impact. This represents a concrete update with numerical specifics, qualifying it for a high importance score.","[""purchase nonparticipating single premium group annuity contracts"", ""contracts cover approximately 96,000 AT&T participants and beneficiaries"", ""AT&T expects to recognize a one-time non-cash pre-tax pension settlement gain of approximately $350 million"", ""$8,050 million of benefit obligation and related plan assets""]"
14,COST,2023-10-20,COSTCO WHOLESALE CORP /NEW,Executive Change,Gradual,0.8127144866385373,1.0,0.8635724331926863,0.6,5.0,-0.00755,-0.02942,The election of Ron Vachris as CEO is a significant leadership change with a defined effective date and detailed compensation. The transition plan for Mr. Jelinek further supports the importance of this change.,"[""The Board of Directors has elected Ron Vachris, currently President and Chief Operating Officer, as President and Chief Executive Officer effective January 1, 2024."", ""Mr. Jelinek will remain an employee through April 2024, serving in an advisory and transition role."", ""Mr. Jelinek will remain a member of the Board of Directors and will stand for re-election at the annual meeting in January 2024."", ""For fiscal 2024 he will receive an annual base salary of $1,150,000 and an award of RSUs with a value of $10.4 million at October 20, 2023.""]"
15,UNP,2023-02-21,UNION PACIFIC CORP,Regulatory,Delayed,0.7979606188466948,0.75,0.4898030942334739,1.0,4.0,-0.00585,-0.10145,The filing communicates the issuance and sale of significant notes (750% due 2026 and $500M due 2053) under a registered offering. Key financial terms and agreements with prominent underwriters indicate a concrete update affecting securities.,"[""750% Notes due 2026"", ""$500,000,000 in aggregate principal amount of its 4.950% Notes due 2053"", ""the Company has agreed to sell, and the underwriters have agreed to purchase"", ""Attached as Exhibit 1.1 is the Underwriting Agreement""]"
16,ABBV,2023-10-27,AbbVie Inc.,Earnings,Delayed,0.7746132208157526,0.75,0.3730661040787623,1.0,4.0,-0.00218,-0.06789,"The filing announces financial results for the third quarter, indicating it contains financials or guidance changes which are important updates. However, detailed figures or impacts are not cited, so it's a high importance but not very high.","[""announcing financial results for the third quarter ended September 30, 2023.""]"
17,DOW,2023-01-26,DOW INC.,Financial Obligation,Gradual,0.7623628691983122,1.0,0.6118143459915611,0.6,5.0,0.0078,0.0101,"The filing outlines significant financial impacts, including a charge of $550 million to $725 million in the first quarter of 2023. It announces a workforce reduction of 2,000 roles and aims to achieve $1 billion in cost savings in 2023. The company's strategic actions in response to macroeconomic conditions denote substantial operational changes affecting its financial performance.","[""expected to be in the range of $550 million to $725 million"", ""global workforce reduction of approximately 2,000 roles"", ""Dow expects to realize $1 billion in cost savings in 2023"", ""Company will incur costs to implement these and other efficiency actions, which will be expensed as incurred, and range from $400 million to $450 million""]"
18,MMM,2023-06-22,3M CO,Material Agreement,Gradual,0.7623628691983122,1.0,0.6118143459915611,0.6,5.0,0.01196,0.01595,"This filing covers a significant settlement agreement by 3M to address PFAS-related litigation by paying between $10.5 to $12.5 billion. The company acknowledges a substantial financial impact by recording a $10.3 billion pre-tax charge, indicating a major financial adjustment. The settlement pertains to prominent environmental and legal challenges, reinforcing the high significance of this announcement.","[""3M will pay $10.5 billion to $12.5 billion"", ""The Settlement would resolve a portion of 3M\u2019s PFAS-related multidistrict litigation"", ""3M expects to record a pre-tax charge of approximately $10.3 billion"", ""The Settlement provides that 3M does not admit any liability or wrongdoing""]"
19,AXP,2023-05-05,AMERICAN EXPRESS CO,Voting Results,Delayed,0.7607594936708861,0.5,0.8037974683544303,1.0,3.0,0.0089,0.11423,"The filing discusses the outcomes of votes at the shareholder meeting, including the election of directors, the ratification of PricewaterhouseCoopers as independent auditor, and decisions on executive compensation. These updates are routine but informative regarding shareholder preferences and governance practices.","[""A quorum was present at the meeting as required"", ""All 14 of the Company's nominees for director received over a majority of votes cast"", ""Votes regarding ratification of appointment of PricewaterhouseCoopers LLP as the Company\u2019s independent registered public accounting firm for 2023 were as follows"", ""A majority of the votes cast by shareholders voted, on an advisory basis, to hold an advisory vote to approve executive compensation every year""]"
20,AXP,2023-05-15,AMERICAN EXPRESS CO,Regulatory,Delayed,0.7496483825597751,0.5,0.7482419127988749,1.0,3.0,0.00868,0.07506,"This filing provides detailed statistical updates on American Express's consumer and small business card member lending portfolios, including loan amounts, delinquency rates, and net write-off rates over recent months. The data offers insight into credit performance but is routine in nature, as indicated under 'Regulation FD Disclosure' with attention to statistical updates rather than strategic financial actions.","[""American Express Company U.S. Consumer and U.S. Small Business Delinquency and Write-off Rate Statistics"", ""Total loans $ 73.8 $ 71.9 $ 70.7"", ""Average loans $ 72.9 $ 71.3 $ 71.0"", ""Net write-off rate \u2013 principal only (a) 1.5 % 1.7 % 1.4 %""]"
21,AXP,2023-02-15,AMERICAN EXPRESS CO,Regulatory,Delayed,0.7484528832630098,0.5,0.7422644163150492,1.0,3.0,-0.00215,-0.0852,"The filing details delinquency and write-off rate statistics for American Express's loan portfolios over recent months. Changes in these metrics indicate shifts in credit performance, making this information substantively important for understanding financial health. However, the data is routine with no major deviations.","[""American Express Company U.S. Consumer and U.S. Small Business Delinquency and Write-off Rate Statistics"", ""The statistics presented above provide information that is additional to the data reported by the American Express Credit Account Master Trust"", ""Annualized default rate, net of recoveries 0.9 % 0.7 % 0.8 %"", ""Total loans $ 71.3 $ 72.7 $ 70.4"", ""Net write-off rate \u2013 principal only (a) 1.5 % 1.2 % 1.0 %""]"
22,AXP,2023-02-16,AMERICAN EXPRESS CO,Regulatory,Delayed,0.7406469760900141,0.5,0.7032348804500703,1.0,3.0,-0.00233,-0.08539,"The filing discusses a financial activity involving the issuance of notes by American Express Company, totaling $1.5 billion in principal amounts. This is substantive financial news but routine for large corporations.","[""issuance by American Express Company"", ""$1,200,000,000 aggregate principal amount of 4.900% Notes"", ""$300,000,000 aggregate principal amount of Floating Rate Notes"", ""Prospectus Supplement dated February 13, 2023""]"
23,MSFT,2023-10-16,MICROSOFT CORP,Regulatory,Gradual,0.740070323488045,1.0,0.500351617440225,0.6,5.0,0.00588,0.05469,"The filing discusses Microsoft's initiation of Exchange Offers and Consent Solicitations related to its merger with Activision Blizzard. This financial maneuver involves significant actions including the exchange of outstanding notes, issuance of new notes and solicitation of consents, all conditioned upon each other's completion, making it a noteworthy event in the context of Microsoft's acquisition strategy.","[""on October 16, 2023, Microsoft Corporation (\u201cMicrosoft\u201d) announced"", ""merger of Activision Blizzard, Inc. (\u201cActivision Blizzard\u201d)"", ""Exchange Offers and Consent Solicitations are being made pursuant to the terms""]"
24,JNJ,2023-05-08,JOHNSON & JOHNSON,Material Agreement,Gradual,0.738945147679325,1.0,0.4947257383966244,0.6,5.0,-0.00394,-0.03042,"The filing announces the completion of Kenvue's IPO, a significant financial event with substantial net proceeds of $4,241 million. Additionally, Johnson & Johnson's continued majority ownership of 89.6% of Kenvue's common stock and the detailed separation agreements emphasize the importance of this business restructuring. These financial specifics and governance changes underscore a high level of impact on both companies.","[""Kenvue Inc., a Delaware corporation (\u201cKenvue\u201d), completed its previously announced initial public offering"", ""at an initial public offering price of $22.00 per share for net proceeds of $4,241 million"", ""Johnson\u00a0& Johnson owns 1,716,160,000 shares of Kenvue Common Stock, or approximately 89.6%"", ""The Separation Agreement sets forth certain agreements between Johnson\u00a0& Johnson and Kenvue"", ""Johnson\u00a0& Johnson transferred the Consumer Health Business to Kenvue""]"
25,AMZN,2023-04-13,AMAZON COM INC,Other,Delayed,0.7351617440225036,0.75,0.1758087201125175,1.0,,0.00208,0.06586,Input too short,[]
26,GOOGL,2023-04-21,Alphabet Inc.,Executive Change,Delayed,0.7343178621659634,0.5,0.6715893108298171,1.0,3.0,0.00027,0.14965,"The filing reports on the approval of significant equity awards for several executives at Alphabet, which includes valuable performance stock units and restricted stock units. These awards, which could be financially substantial depending on performance outcomes, are indicative of routine executive compensation adjustments. The impact is notable but not extraordinary, given it follows standard compensation practices.","[""On April 18, 2023, the Leadership Development, Inclusion and Compensation Committee (\u201cLDICC\u201d) of the Board of Directors of Alphabet Inc. (\u201cAlphabet\u201d) approved equity awards"", ""Ms. Porat will be granted one tranche of performance stock units (\u201cPSUs\u201d) with a target value of $5,000,000"", ""Mr. Raghavan will be granted one tranche of PSUs with a target value of $12,000,000"", ""Upon termination of employment by reason of death, unvested PSUs will immediately vest"", ""qualified in its entirety by reference to the full text of the PSU Agreement""]"
27,GE,2023-02-21,GENUINE PARTS CO,Regulatory,Delayed,0.7296765119549931,0.5,0.6483825597749648,1.0,3.0,0.00454,0.06767,"The filing announces a routine yet notable increase in the company's cash dividend, which is indicative of stable or improving financial health. This type of information is relevant to shareholders as it affects their returns.","[""2% increase in the regular quarterly cash dividend for 2023."", ""regular quarterly cash dividend of ninety-five cents ($0.95) per share""]"
28,ADBE,2023-12-18,ADOBE INC.,Material Agreement,Gradual,0.7284669479606188,1.0,0.4423347398030942,0.6,5.0,0.00382,0.00966,"The filing announces the mutual termination of a significant merger agreement between Adobe and Figma, involving a substantial termination fee of $1 billion. This represents a major strategic shift for both companies and financial implications for Adobe.","[""Adobe Inc. (the \u201cCompany\u201d) entered into an Agreement and Plan of Merger"", ""the Company and Figma mutually agreed to terminate the Merger Agreement"", ""the Company will make a cash payment to Figma in the previously agreed amount of one billion dollars ($1,000,000,000)"", ""The mutual termination of the Merger Agreement was approved by the Company\u2019s and Figma\u2019s respective Boards of Directors""]"
29,ABBV,2023-11-30,AbbVie Inc.,Regulatory,Gradual,0.7245288326300985,1.0,0.4226441631504922,0.6,5.0,0.01186,0.04394,"The filing announces a definitive agreement for the acquisition of ImmunoGen by the Company, a significant corporate event impacting both entities. It includes forward-looking statements and potential risks associated with the acquisition, indicating the substantial impact on business and regulatory considerations.","[""the Company will acquire ImmunoGen"", ""a definitive agreement pursuant to which the Company will acquire ImmunoGen"", ""representatives of the Company will present information about the proposed transaction"", ""forward-looking statements are subject to risks and uncertainties""]"
30,ABBV,2023-12-06,AbbVie Inc.,Regulatory,Gradual,0.7241068917018284,1.0,0.420534458509142,0.6,5.0,0.00765,0.03366,"This filing announces a definitive agreement for the acquisition of Cerevel by the Company, which is a significant corporate event. The filing includes detailed information about the potential impacts and risks associated with the acquisition, which are crucial for investors. The inclusion of forward-looking statements and conditions for closing further underscore the importance.","[""issued a joint press release announcing a definitive agreement"", ""the Company will acquire Cerevel"", ""the proposed acquisition of Cerevel by the Company"", ""risks related to the satisfaction or waiver of the conditions to closing the proposed acquisition""]"
